date,state,state_ibge_code,place,deaths_sars,deaths_pneumonia,deaths_respiratory_failure,deaths_septicemia,deaths_indeterminate,deaths_others,deaths_covid19,created_at
2018-03-04,AC,12,hospital,,2,1,1,,,,2020-06-09 15:50
2018-03-04,AC,12,others,,,,,,1,,2020-06-09 15:50
2018-03-05,AC,12,home,,,,,,3,,2020-06-09 15:50
2018-03-05,AC,12,hospital,,,1,,,3,,2020-06-09 15:50
2018-03-05,AC,12,public,,1,,,,,,2020-06-09 15:50
2018-03-06,AC,12,home,,,,,,2,,2020-06-09 15:50
2018-03-06,AC,12,hospital,,1,1,1,,4,,2020-06-09 15:50
2018-03-06,AC,12,others,,,,,,1,,2020-06-09 15:50
2018-03-06,AC,12,public,,,,,,1,,2020-06-09 15:50
2018-03-07,AC,12,home,,,,,,1,,2020-06-09 15:50
2018-03-07,AC,12,hospital,,2,,1,1,4,,2020-06-09 15:50
2018-03-08,AC,12,home,,,,,,2,,2020-06-09 15:50
2018-03-08,AC,12,hospital,,2,1,3,,2,,2020-06-09 15:50
2018-03-08,AC,12,others,,1,,1,,,,2020-06-09 15:50
2018-03-08,AC,12,public,,,,,1,,,2020-06-09 15:50
2018-03-09,AC,12,home,,,,,,3,,2020-06-09 15:50
2018-03-09,AC,12,hospital,,3,,,,2,,2020-06-09 15:50
2018-03-09,AC,12,others,,,,,,1,,2020-06-09 15:50
2018-03-09,AC,12,public,,,,,,1,,2020-06-09 15:50
2018-03-10,AC,12,home,,,,,,2,,2020-06-09 15:50
2018-03-10,AC,12,hospital,,7,1,1,,6,,2020-06-09 15:50
2018-03-10,AC,12,others,,,,1,,1,,2020-06-09 15:50
2018-03-10,AC,12,public,,,,,,1,,2020-06-09 15:50
2018-03-11,AC,12,home,,,,,1,2,,2020-06-09 15:50
2018-03-11,AC,12,hospital,,3,,,,2,,2020-06-09 15:50
2018-03-11,AC,12,others,,,,,,1,,2020-06-09 15:50
2018-03-11,AC,12,public,,,,,,1,,2020-06-09 15:50
2018-03-12,AC,12,home,,,1,,,3,,2020-06-09 15:50
2018-03-12,AC,12,hospital,,2,,2,,2,,2020-06-09 15:50
2018-03-12,AC,12,others,,1,,,,,,2020-06-09 15:50
2018-03-12,AC,12,public,,,,,,1,,2020-06-09 15:50
2018-03-13,AC,12,home,,,,,,4,,2020-06-09 15:50
2018-03-13,AC,12,hospital,,5,1,,,2,,2020-06-09 15:50
2018-03-13,AC,12,public,,,,,,2,,2020-06-09 15:50
2018-03-14,AC,12,home,,,,,,3,,2020-06-09 15:50
2018-03-14,AC,12,hospital,,4,,1,,2,,2020-06-09 15:50
2018-03-14,AC,12,others,,1,,,,,,2020-06-09 15:50
2018-03-15,AC,12,home,,,,,,1,,2020-06-09 15:50
2018-03-15,AC,12,hospital,,1,2,1,,3,,2020-06-09 15:50
2018-03-16,AC,12,home,,,,,,7,,2020-06-09 15:50
2018-03-16,AC,12,hospital,,4,,2,,3,,2020-06-09 15:50
2018-03-17,AC,12,home,,,,,,1,,2020-06-09 15:50
2018-03-17,AC,12,hospital,,4,,1,,3,,2020-06-09 15:50
2018-03-18,AC,12,home,,,,,,2,,2020-06-09 15:50
2018-03-18,AC,12,hospital,1,6,,,,3,,2020-06-09 15:50
2018-03-18,AC,12,others,,,,,,2,,2020-06-09 15:50
2018-03-19,AC,12,home,,,,,,5,,2020-06-09 15:50
